,Unnamed: 0,Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight
0,0,13500,23.0,46986.0,Diesel,90.0,1.0,0,2000,three,1165
1,1,13750,23.0,72937.0,Diesel,90.0,1.0,0,2000,3,1165
2,2,13950,24.0,41711.0,Diesel,90.0,,0,2000,3,1165
3,3,14950,26.0,48000.0,Diesel,90.0,0.0,0,2000,3,1165
4,4,13750,30.0,38500.0,Diesel,90.0,0.0,0,2000,3,1170
5,5,12950,32.0,61000.0,Diesel,90.0,0.0,0,2000,3,1170
6,6,16900,27.0,,Diesel,,,0,2000,3,1245
7,7,18600,30.0,75889.0,,90.0,1.0,0,2000,3,1245
8,8,21500,27.0,19700.0,Petrol,192.0,0.0,0,1800,3,1185
9,9,12950,23.0,71138.0,Diesel,,,0,1900,3,1105
10,10,20950,25.0,31461.0,Petrol,192.0,0.0,0,1800,3,1185
11,11,19950,22.0,43610.0,Petrol,192.0,0.0,0,1800,3,1185
12,12,19600,25.0,32189.0,Petrol,192.0,0.0,0,1800,3,1185
13,13,21500,31.0,23000.0,Petrol,192.0,1.0,0,1800,3,1185
14,14,22500,32.0,34131.0,Petrol,192.0,1.0,0,1800,3,1185
15,15,22000,28.0,18739.0,Petrol,,0.0,0,1800,3,1185
16,16,22750,30.0,34000.0,Petrol,192.0,1.0,0,1800,3,1185
17,17,17950,24.0,21716.0,Petrol,110.0,1.0,0,1600,3,1105
18,18,16750,24.0,25563.0,Petrol,110.0,0.0,0,1600,3,1065
19,19,16950,30.0,64359.0,Petrol,110.0,1.0,0,1600,3,1105
20,20,15950,30.0,67660.0,Petrol,110.0,1.0,0,1600,3,1105
21,21,16950,29.0,43905.0,,110.0,0.0,1,1600,3,1170
22,22,15950,28.0,56349.0,Petrol,110.0,1.0,0,1600,3,1120
23,23,16950,28.0,32220.0,Petrol,110.0,1.0,0,1600,3,1120
24,24,16250,29.0,25813.0,Petrol,110.0,1.0,0,1600,3,1120
25,25,15950,25.0,28450.0,Petrol,110.0,1.0,0,1600,3,1120
26,26,17495,27.0,34545.0,,110.0,1.0,0,1600,3,1120
27,27,15750,29.0,41415.0,Petrol,110.0,1.0,0,1600,3,1120
28,28,16950,28.0,44142.0,Petrol,110.0,0.0,0,1600,3,1120
29,29,17950,30.0,11090.0,,110.0,,0,1600,3,1120
30,30,12950,29.0,9750.0,Petrol,97.0,1.0,0,1400,3,1100
31,31,15750,22.0,35199.0,Petrol,97.0,1.0,0,1400,3,1100
32,32,15950,27.0,29510.0,Petrol,97.0,1.0,0,1400,3,1100
33,33,14950,,32692.0,Petrol,97.0,1.0,0,1400,3,1100
34,34,15500,22.0,41000.0,Petrol,97.0,1.0,0,1400,3,1100
35,35,15750,26.0,43000.0,Petrol,97.0,0.0,0,1400,3,1100
